,0
P04211_P19021,1
P61278_Q7Z3B1,1
P61278_Q96KN2,1
O15240_P14174,1
P02749_P40925,1
P02749_P49908,1
O15240_P10451,1
O15240_P08603,1
P04211_P08294,1
P04211_P08133,1
O15240_P07333,1
P61626_Q13451,1
P04211_P07333,1
P02749_P04004,1
P02749_P02768,1
P04211_P05452,1
O15394_P10643,1
O15394_Q9NYU2,1
O15394_Q99969,1
P04216_Q9UHG2,1
O15394_Q7Z5P9,1
P02748_P02765,1
O15394_Q14624,1
O15394_P61278,1
P51884_Q8NBJ4,1
P51884_Q92876,1
P04216_Q14508,1
P02748_P08253,1
P02748_P08493,1
O15394_P25311,1
P02748_P08603,1
O15394_P09871,1
P02749_P02763,1
P54289_Q99435,1
P02748_P40925,1
P02748_P41222,1
P02748_P54289,1
P04216_P11142,1
O15394_P02656,1
P04216_P06454,1
P02748_Q8IWV7,1
P02748_Q96KN2,1
P04216_P05067,1
P04216_P05060,1
P02748_Q9BY67,1
P04211_Q9HDC9,1
P60174_P61278,1
O15240_P05452,1
P04211_P05155,1
P35542_Q15904,1
O14773_Q8IWV7,1
P02750_Q6UXD5,1
O14791_P10643,1
P02750_Q8NBJ4,1
P04207_P04217,1
O14791_P08253,1
P02750_Q96BZ4,1
P80748_Q9Y6R7,1
P04196_Q92876,1
P04196_Q6UXD5,1
O14791_P02751,1
P04196_Q02818,1
P04196_P60174,1
P04196_P35542,1
P02751_P32754,1
Q06481_Q6UX71,1
P02750_Q562R1,1
P04196_P07711,1
P04196_P06727,1
P02751_Q12907,1
P04196_P05067,1
P04180_Q9Y6R7,1
P04180_Q9UBR2,1
P02751_Q96BZ4,1
P04180_Q99683,1
Q08380_Q16270,1
O14773_P16152,1
P04180_Q6UX71,1
Q08380_Q9HDC9,1
Q08380_Q9UHG2,1
Q08380_Q9UNU6,1
O14791_P12109,1
O14791_P13591,1
P61626_Q8NBJ4,1
P04207_Q13283,1
P02749_Q8NE71,1
O15240_P02792,1
P04207_Q9UKV8,1
P61626_Q9HDC9,1
P02749_Q9UBX5,1
P02750_P02763,1
P02750_P02792,1
P61769_Q13740,1
O15240_P01621,1
O15240_P01344,1
P04207_Q6UXB8,1
P04207_Q15904,1
P04207_Q13740,1
O15240_P00746,1
P02750_P06454,1
P04207_P06681,1
P04207_Q08380,1
P02750_P07333,1
O14791_Q8IWV7,1
P04207_P30086,1
P04207_P19827,1
P02750_P31997,1
O14791_P61278,1
O14791_P35542,1
P02750_P60174,1
P02750_Q12805,1
O14791_P19021,1
P02750_Q12907,1
P02750_Q13283,1
P80748_Q6UX71,1
P04217_P06681,1
P02747_Q96PD5,1
P49908_Q8NBJ4,1
O75144_P13611,1
P02671_P24592,1
P02671_Q02818,1
P04433_Q13283,1
P36980_P51884,1
P02671_Q13283,1
P04433_Q08380,1
P36980_P80748,1
P36980_Q08380,1
P02671_Q14624,1
O75144_P49588,1
O75144_P36980,1
O75144_P36222,1
P02671_Q9HDC9,1
O75144_P14314,1
O75144_P10451,1
P02671_P20774,1
P39060_P43652,1
P04433_P11142,1
P02675_P04217,1
O75144_P05156,1
P04433_P07711,1
P02675_P06454,1
O75144_P02792,1
P04433_P05156,1
O75144_P02750,1
O75144_P02655,1
P02675_P13473,1
O75144_P01780,1
P04406_Q96KN2,1
O75144_P01594,1
P36955_Q8IWV7,1
P04433_Q9BY67,1
P02747_Q8IWV7,1
P36222_Q14118,1
O75326_P43121,1
P05060_Q7Z3B1,1
P35542_Q562R1,1
P05060_Q562R1,1
P05060_Q16610,1
P02656_Q14515,1
O75326_P20933,1
P36222_P40925,1
P02656_Q9NQ79,1
P02656_Q9NYU2,1
O75326_P08697,1
O75326_P08637,1
P36222_P80748,1
P05060_P36222,1
O75326_P04406,1
P00736_Q8NE71,1
O75326_P04207,1
P36222_Q8IWV7,1
P36222_Q96BZ4,1
P05060_P13611,1
P36222_Q96S96,1
P05060_P10645,1
